commit,mean_rank,frac_interpretability_tests_passed,status,model_name,description
baseline,21.85,0.4186,baseline,PyGAM,generalized additive model with 10 splines per feature and default settings
baseline,41.18,0.6744,baseline,DT_mini,small decision tree with up to 8 max_leaf_nodes
baseline,42.77,0.5349,baseline,DT_large,large decision tree with up to 20 max_leaf_nodes
baseline,29.78,0.7442,baseline,OLS,ordinary least squares linear regression
baseline,37.92,0.5349,baseline,LassoCV,Lasso linear model with cross-validation to select the regularization parameter
baseline,35.08,0.7674,baseline,RidgeCV,Ridge linear model with cross-validation to select the regularization parameter
baseline,24.42,0.2326,baseline,RF,"random forest with 50 tree estimators, each with max_depth of 5"
baseline,22.25,0.5349,baseline,GBM,"gradient boosting machine with 100 tree estimators, each with max_depth of 3"
baseline,46.37,0.1628,baseline,MLP,"multi-layer perceptron with default hidden layer size, ReLU activation, and Adam solver"
baseline,37.25,0.3953,baseline,FIGS_mini,small FIGS with up to 8 max_rules
baseline,37.11,0.5814,baseline,FIGS_large,large FIGS with up to 20 max_rules
baseline,30.17,0.2791,baseline,RuleFit,RuleFit with up to 20 max_rules
baseline,39.95,0.7674,baseline,HSTree_mini,small HSTree with up to 8 max_leaf_nodes
baseline,35.08,0.6744,baseline,HSTree_large,large HSTree with up to 20 max_leaf_nodes
baseline,14.89,0.4651,baseline,EBM,explainable boosting machine (InterpretML) with 3 outer bags and 1000 max rounds
baseline,10.88,0.0698,baseline,TabPFN,TabPFN foundation model for tabular data
baca1ec,39.23,0.6047,,DecisionTreeSimple,Baseline interpretable regressor (shallow decision tree)
37e3531,25.95,0.7209,,OLSPlain_v1,Plain OLS on raw features; y = intercept + sum c_i * x_i
b71c234,33.58,0.6512,,SparseOLSTop5_v1,"LassoCV selects top-5 features, refit OLS; clear sparse linear formula"
a658f09,23.20,0.5116,,HingeLinear_v1,"Linear + ReLU hinges at median, Lasso-select top-10, OLS refit"
2ef15f8,32.63,0.7209,,RidgeCVClean_v1,"RidgeCV on standardized X, report formula in original feature scale"
2cc1dc5,30.15,0.6512,,SparseOLSTop8_v1,"LassoCV selects top-8 features, OLS refit in original scale"
e0aabe0,35.71,0.6744,,TopCorrOLS_v1,"Top-6 features by |correlation with y|, OLS refit"
cfc4e4d,20.32,0.4651,,QuartileGAM_v1,"Piecewise-linear GAM: {x, (x-q25)_+, (x-q50)_+, (x-q75)_+} per feature, Lasso-select 12, OLS refit"
3e372ea,42.72,0.7209,,SparseOLSTop3_v1,"LassoCV selects top-3 features, refit OLS; very sparse linear formula"
bfce155,27.78,0.6977,,ThresholdOLS_5pct_v1,"Full OLS, then prune features with |std-coef|<5% of max, refit OLS"
08045be,33.66,0.6744,,ForwardOLS6_v1,"Greedy forward stepwise: pick 6 features minimizing RSS, OLS refit"
f461af9,26.32,0.4186,,LinearResidualTree_v1,OLS base + depth-3 decision tree on residuals for correction
85712e9,30.43,0.6744,,ThresholdOLS_1pct_v1,"OLS, prune std-coefs below 1% of max, refit OLS"
cd88f20,43.74,0.2791,,BoostedStumps30_v1,"Stagewise boosting of 30 depth-1 stumps (lr=0.1), additive per-feature output"
ccef19d,20.95,0.4651,,HingeGAM_v1,"GAM with per-feature {x, (x-med)_+, (med-x)_+} basis, Lasso-select 10, OLS refit; grouped per-feature output"
57b4827,30.35,0.7442,,ElasticNetClean_v1,"ElasticNetCV on standardized X, report as linear formula in original scale"
