commit,mean_rank,frac_interpretability_tests_passed,status,model_name,description
baseline,6.89,0.4186,baseline,PyGAM,generalized additive model with 10 splines per feature and default settings
baseline,11.65,0.6744,baseline,DT_mini,small decision tree with up to 8 max_leaf_nodes
baseline,11.29,0.5349,baseline,DT_large,large decision tree with up to 20 max_leaf_nodes
baseline,8.98,0.7442,baseline,OLS,ordinary least squares linear regression
baseline,9.45,0.5349,baseline,LassoCV,Lasso linear model with cross-validation to select the regularization parameter
baseline,8.94,0.7674,baseline,RidgeCV,Ridge linear model with cross-validation to select the regularization parameter
baseline,5.75,0.2326,baseline,RF,"random forest with 50 tree estimators, each with max_depth of 5"
baseline,5.46,0.5349,baseline,GBM,"gradient boosting machine with 100 tree estimators, each with max_depth of 3"
baseline,12.05,0.1628,baseline,MLP,"multi-layer perceptron with default hidden layer size, ReLU activation, and Adam solver"
baseline,10.14,0.3953,baseline,FIGS_mini,small FIGS with up to 8 max_rules
baseline,9.72,0.5814,baseline,FIGS_large,large FIGS with up to 20 max_rules
baseline,8.00,0.2791,baseline,RuleFit,RuleFit with up to 20 max_rules
baseline,11.09,0.7674,baseline,HSTree_mini,small HSTree with up to 8 max_leaf_nodes
baseline,9.26,0.6744,baseline,HSTree_large,large HSTree with up to 20 max_leaf_nodes
baseline,4.32,0.0465,baseline,EBM,explainable boosting machine (InterpretML) with 3 outer bags and 1000 max rounds
baseline,3.00,0.0698,baseline,TabPFN,TabPFN foundation model for tabular data
6a1c808,10.72,0.6279,,DecisionTreeSimple,Baseline interpretable regressor (shallow decision tree)
9d797a7,7.98,0.5814,discard,SparseRuleEq_v1,"Sparse additive symbolic model with linear/quadratic/hinge terms plus selected pairwise interactions, L1 term selection, and OLS refit"
8a47801,8.97,0.4186,discard,ResidStumpLinear_v1,Sparse standardized linear backbone plus greedy residual one-feature threshold rules (centered indicators) for compact nonlinear corrections
a113960,8.20,0.4186,,SparseAdaBasis_v1,"Greedy sparse additive basis model over raw features using linear, hinge, square, and screened interaction terms with OLS refit"
35ddce5,9.37,0.6279,discard,HierHingeSparse_v1,BIC-penalized sparse additive regressor over raw linear and hinge terms with one screened interaction and concise explicit equation
13ceb38,12.54,0.6744,discard,StabAffineSparse_v1,Bootstrap-stability-selected sparse affine regressor: bagged ridge screening followed by compact raw-feature equation refit
02549a6,16.28,0.2558,,StageHingeAdd_v1,Forward-stagewise additive regressor over raw linear and single-knot hinge terms with compact ridge-refit explicit equation
5b38e1d,10.82,0.6279,discard,SparseAffineResid_v1,Ridge-stabilized sparse affine backbone plus at most two residual nonlinear correction terms (square/hinge/interaction) with explicit closed-form equation
