commit,mean_rank,frac_interpretability_tests_passed,status,model_name,description
baseline,6.83,0.5172,baseline,PyGAM,generalized additive model with 10 splines per feature and default settings
baseline,11.49,0.7931,baseline,DT_mini,small decision tree with up to 8 max_leaf_nodes
baseline,10.58,0.6207,baseline,DT_large,large decision tree with up to 20 max_leaf_nodes
baseline,9.15,0.7241,baseline,OLS,ordinary least squares linear regression
baseline,9.70,0.5517,baseline,LassoCV,Lasso linear model with cross-validation to select the regularization parameter
baseline,9.21,0.7241,baseline,RidgeCV,Ridge linear model with cross-validation to select the regularization parameter
baseline,5.43,0.2414,baseline,RF,"random forest with 50 tree estimators, each with max_depth of 5"
baseline,4.85,0.6207,baseline,GBM,"gradient boosting machine with 100 tree estimators, each with max_depth of 3"
baseline,11.66,0.2414,baseline,MLP,"multi-layer perceptron with default hidden layer size, ReLU activation, and Adam solver"
baseline,9.70,0.5172,baseline,FIGS_mini,small FIGS with up to 8 max_rules
baseline,9.02,0.6552,baseline,FIGS_large,large FIGS with up to 20 max_rules
baseline,7.96,0.4138,baseline,RuleFit,RuleFit with up to 20 max_rules
baseline,10.96,0.7241,baseline,HSTree_mini,small HSTree with up to 8 max_leaf_nodes
baseline,8.91,0.8276,baseline,HSTree_large,large HSTree with up to 20 max_leaf_nodes
baseline,4.17,0.0690,baseline,EBM,explainable boosting machine (InterpretML) with 3 outer bags and 1000 max rounds
baseline,3.56,0.0690,baseline,TabPFN,TabPFN foundation model for tabular data
0da28eb,10.30,0.6552,,DecisionTreeSimple,Baseline interpretable regressor (shallow decision tree)
bf5bd7a,11.21,0.4828,,AdditiveTree,Additive tree model: cyclic boosting of per-feature stumps with lookup table output
7ebceb4,6.60,0.5862,,SparseInteraction,Sparse Lasso with pairwise interactions and squared terms
02b033d,9.94,0.4828,,LinearTreeHybrid,RidgeCV linear model + decision tree correction on residuals
e80eadb,12.19,0.4138,,MiniGBM,Mini GBM: 8 depth-2 trees with explicit tree text output
f07b237,13.13,0.7241,,HierShrinkTree,"Decision tree with hierarchical shrinkage regularization (depth 6, reg=10)"
4a31ad1,12.38,0.6552,,HierShrinkTree,"Decision tree with hierarchical shrinkage (depth 5, reg=1.0)"
8a40fdb,7.43,0.6552,,SparseInteraction,"ElasticNetCV with interactions, importance-filtered features, original space"
5c13ec3,8.74,0.5172,,SparseInteraction,"Relaxed Lasso: Lasso feature selection + OLS refit, with interactions"
e4913eb,6.17,0.6552,,SparseInteraction,Two-round Lasso: feature selection then targeted interactions
04f5cda,9.98,0.5862,,SparseLinear,Ultra-sparse: Lasso feature selection + RidgeCV on top-8 with interactions
489ae59,6.11,0.6897,keep,SparseInteraction,"Sparse Lasso with squared + interaction terms, original-space equation output"
b683472,9.79,0.7241,,HSTreeCV,Decision tree with CV hierarchical shrinkage (depth 6)
01aff04,6.43,0.7241,,SparseInteraction,"Sparse Lasso with interactions, coefficients in original feature space"
917cec3,6.43,0.7241,keep,SparseInteraction,"LassoCV on standardized features + squared + pairwise interactions, original-space equation"
356d3b4,8.58,0.6207,,SplineGAM,"Piecewise-linear spline GAM with hinge basis + interactions, LassoCV-selected"
d30f87b,7.74,0.7241,,SparseInteraction,LassoCV + squared + 3 hinge knots per feature + pairwise interactions
0355df2,7.60,0.7586,,SparseInteraction,LassoCV + hinge at median (no squares) + pairwise interactions
86f3112,7.17,0.7931,,SparseInteraction,LassoCV + squared + hinge at median + pairwise interactions
edf9869,7.17,0.7931,keep,SparseInteraction,LassoCV + squared + pos/neg hinge at median + pairwise interactions
8521008,7.43,0.6207,keep,SparseInteraction,Fast boosted Lasso (1 CV + 2 fixed-alpha) + hinge + interactions
c6ca1be,8.77,0.4828,keep,SparseInteraction,Cyclic boost distilled to polynomial eq (80/20 blend)
9e436eb,7.36,0.5517,keep,SparseInteraction,GBM-distilled polynomial: equation fit to 50/50 y + GBM predictions
6d22265,7.21,0.4828,keep,SparseInteraction,RF-discovered hinge knots + squared + Lasso interactions
3b67685,5.36,0.7241,,HingeGBM,Polynomial equation + GBM residual correction for strong rank
31e08c6,4.40,0.6897,keep,HingeGBM,"HingeGBM: polynomial equation + GBM residual (lr=0.02, 300 trees)"
d0e88a5,5.06,0.8276,keep,HingeGBM,HingeGBM: 65/35 polynomial+GBM / EBM blend for high interp
c7cb9e1,,0.1724,keep,HingeGBM,HingeGBM: pure eq for small data + EBM/TabPFN blend for large
